,id,name,position,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,C,LW,RW,D,assists_60,goals_60,pim_60,shots_60,hits_60,powerPlayGoals_60,powerPlayPoints_60,gameWinningGoals_60,overTimeGoals_60,shortHandedGoals_60,shortHandedPoints_60,blocked_60,points_60,shifts_60
27,8474589,Tyler Ennis,C,363.78333333333336,6,3,6,38,30,43,0,0,8.55,355.1333333333333,6,66.66,7.9,2,0,0,0,0.1,6,0,9,463,12.116666666666667,11.833333333333334,0.0,0.2833333333333333,1,0,0,0,0.9896000363798231,0.49480001818991154,0.9896000363798231,6.267466897072213,7.092133594055398,0.0,0.0,0.32986667879327436,0.0,0.0,0.0,0.9896000363798231,1.4844000545697345,76.36413614064301
28,8477038,Nikita Gusev,LW,444.9166666666667,6,4,2,72,31,4,0,2,80.71666666666667,364.2,2,0.0,5.6,0,0,0,0,0.0,1,-12,10,554,14.35,11.733333333333333,0.0,2.6,0,1,0,0,0.8091402882616654,0.5394268588411102,0.2697134294205551,9.709683459139985,0.5394268588411102,0.0,1.4866818069543486,0.0,0.0,0.0,0.0,0.13485671471027755,1.3485671471027756,74.71061994949378
29,8473544,Derick Brassard,C,784.1666666666666,12,8,12,67,53,80,4,6,126.46666666666667,654.7666666666667,12,52.64,11.9,1,0,0,0,2.9333333333333336,5,-10,20,1075,14.783333333333333,12.35,0.05,2.3833333333333333,1,0,0,0,0.9181721571624011,0.6121147714416006,0.9181721571624011,5.126461210823406,6.121147714416008,1.8977332615463365,2.8465998923195044,0.07651434643020008,0.0,0.0,0.0,0.3825717321510005,1.530286928604002,82.2529224124651
30,8480946,Dominik Kahun,C,615.3666666666667,6,9,2,69,48,13,0,1,16.433333333333334,598.4333333333333,2,53.33,13.0,2,1,0,0,0.5,12,-3,15,758,12.816666666666666,12.466666666666667,0.0,0.3333333333333333,1,0,0,0,0.5850170629026027,0.8775255943539041,0.19500568763420092,6.727696223379931,1.2675369696223058,0.0,3.6511155964435154,0.19500568763420092,0.09750284381710046,0.0,0.0,1.1700341258052054,1.462542657256507,73.90715561336215
31,8478027,Lucas Wallmark,C,227.7,3,0,6,11,20,25,0,2,4.783333333333333,202.51666666666668,6,41.35,0.0,0,0,0,1,20.4,6,-4,3,319,11.383333333333333,10.116666666666667,1.0166666666666666,0.23333333333333334,1,0,0,0,0.7905138336449216,0.0,1.5810276672898431,2.8985507233647123,6.587615280374346,0.0,25.087107489468135,0.0,0.0,0.0,2.9411764561707034,1.5810276672898431,0.7905138336449216,84.05797097757666
32,8477018,Ben Hutton,D,701.4333333333333,4,1,11,54,38,44,0,0,1.75,610.6833333333333,11,0.0,1.9,0,0,0,0,89.0,39,-13,5,909,18.45,16.066666666666666,2.3333333333333335,0.03333333333333333,0,0,0,1,0.342156536566722,0.0855391341416805,0.9409304755584855,4.619113243650747,3.763721902233942,0.0,0.0,0.0,0.0,0.0,0.0,3.3360262315255396,0.42769567070840253,77.75507293478758
33,8476918,Jimmy Vesey,LW,635.4166666666666,5,5,10,58,50,38,0,0,21.8,556.5833333333334,10,25.0,8.6,1,0,0,1,57.03333333333333,19,-14,10,874,12.7,11.116666666666667,1.1333333333333333,0.43333333333333335,0,1,0,0,0.47213114746668106,0.47213114746668106,0.9442622949333621,5.4767213106135,3.588196720746776,0.0,0.0,0.0944262294933362,0.0,0.0,1.0520163628544423,1.794098360373388,0.9442622949333621,82.52852457717586
34,8477963,Jayce Hawryluk,C,289.21666666666664,3,2,9,18,30,43,0,0,0.25,288.96666666666664,9,50.0,11.1,1,0,0,0,0.0,11,-7,5,448,9.633333333333333,9.616666666666667,0.0,0.0,1,0,0,0,0.6223707714093111,0.4149138476062074,1.8671123142279333,3.7342246284558667,8.92064772353346,0.0,0.0,0.2074569238031037,0.0,0.0,0.0,2.282026161834141,1.0372846190155185,92.94070186379045
35,8465009,Zdeno Chara,D,1007.7166666666667,8,2,44,67,55,88,0,0,13.916666666666666,846.1666666666666,44,0.0,3.0,0,0,0,0,147.63333333333333,67,5,10,1213,18.316666666666666,15.383333333333333,2.6833333333333336,0.25,0,0,0,1,0.47632436361315267,0.11908109090328817,2.61978399987234,3.9892165452601542,5.23956799974468,0.0,0.0,0.0,0.0,0.0,0.0,3.9892165452601542,0.5954054545164409,72.22268163284429
36,8474628,Michael Stone,D,337.6666666666667,2,2,6,41,21,24,0,0,7.433333333333334,297.5833333333333,6,0.0,4.9,0,0,0,0,32.65,27,-1,4,486,16.066666666666666,14.166666666666666,1.55,0.35,0,0,0,1,0.355380059124764,0.355380059124764,1.066140177374292,7.285291212057662,4.264560709497168,0.0,0.0,0.0,0.0,0.0,0.0,4.797630798184314,0.710760118249528,86.35735436731765
37,8476873,Mark Jankowski,C,482.0,7,4,6,35,45,35,0,0,6.5,394.35,6,46.74,11.4,0,0,0,0,81.15,21,4,11,737,10.7,8.75,1.8,0.13333333333333333,1,0,0,0,0.8713692944250271,0.4979253111000155,0.7468879666500232,4.356846472125135,4.356846472125135,0.0,0.0,0.0,0.0,0.0,0.0,2.6141078832750813,1.3692946055250426,91.74273857017785
38,8476356,Tobias Rieder,LW,538.9666666666667,2,5,2,63,44,21,0,0,1.05,465.26666666666665,2,12.5,7.9,0,0,0,0,72.65,34,-9,7,748,12.233333333333333,10.566666666666666,1.65,0.016666666666666666,0,1,0,0,0.22264827752687583,0.5566206938171896,0.22264827752687583,7.013420742096589,2.337806914032196,0.0,0.0,0.0,0.0,0.0,0.0,3.785020717956889,0.7792689713440655,83.27045579505156
39,8466139,Patrick Marleau,C,743.8333333333334,5,4,10,54,56,40,2,2,60.18333333333333,645.7666666666667,10,47.0,7.4,0,0,0,0,37.88333333333333,19,-9,9,1004,13.266666666666667,11.516666666666667,0.6666666666666666,1.0666666666666667,1,0,0,0,0.4033161549984338,0.3226529239987471,0.8066323099968676,4.355814473983085,3.2265292399874705,1.993907501533247,1.993907501533247,0.0,0.0,0.0,0.0,1.5326013889940486,0.7259690789971809,80.98588392368552
